time,sponsored,user_name,user_handle,retweeted,comment,replys,retweets,likes
2022-02-06T01:38:11.000Z,False,Elon Musk,@elonmusk,False,[Satire],1.8K,1.3K,35.3K
2022-02-06T01:37:28.000Z,False,Elon Musk,@elonmusk,False, Thank You for Smoking ,9.8K,9.8K,100.5K
2022-02-06T00:27:58.000Z,False,Elon Musk,@elonmusk,False,Tesla Model S & X Plaid are so fun!,1.9K,1.9K,25.2K
2022-02-06T00:26:05.000Z,False,Elon Musk,@elonmusk,False,Extended tracking shot of Falcon 9,1.5K,2K,18.3K
2022-02-05T20:19:53.000Z,False,Elon Musk,@elonmusk,False,No text in the tweet,9K,29.5K,293.2K
2022-02-03T21:32:56.000Z,False,Elon Musk,@elonmusk,False,"If things go well, Falcon will launch about once a week on average in 2022, delivering ~2/3 of all Earth payload to orbit",3.2K,2.9K,35.8K
2022-02-03T20:50:45.000Z,False,Elon Musk,@elonmusk,False,Congrats SpaceX Falcon team!,6.3K,6.6K,72.3K
2022-02-02T16:43:49.000Z,False,Elon Musk,@elonmusk,False,"SpaceX standard antenna production rises rapidly this year, so those with orders shouldnâ€™t have to wait long.

Note, Starlink can only support a limited number of users in an area, so best to order early.",3.4K,1.3K,16K
2022-02-02T10:37:30.000Z,False,Elon Musk,@elonmusk,False,"Exciting progress at Starbase, Texas!",7.7K,8.9K,159K
2022-02-02T05:43:24.000Z,False,Elon Musk,@elonmusk,False,This is twice the area of our standard phased array with broader scan angle,1.6K,1.1K,22.6K
